MonitoringID,Year,Month,Day,rain_mm,Date_bomrainfall
BOM_087184,2020,5,13,1.4,13/05/2020
BOM_087184,2020,5,14,0,14/05/2020
BOM_087184,2020,5,15,0,15/05/2020
BOM_087184,2020,5,16,0,16/05/2020
BOM_087184,2020,5,17,0,17/05/2020
BOM_087184,2020,5,18,0.2,18/05/2020
BOM_087184,2020,5,19,0,19/05/2020
BOM_087184,2020,5,20,9.6,20/05/2020
BOM_087184,2020,5,21,2.8,21/05/2020
BOM_087184,2020,5,22,0.2,22/05/2020
BOM_087184,2020,5,23,0.2,23/05/2020
BOM_087184,2020,5,24,2,24/05/2020
BOM_087184,2020,5,25,0,25/05/2020
BOM_087184,2020,5,26,0,26/05/2020
BOM_087184,2020,5,27,0,27/05/2020
BOM_087184,2020,5,28,0,28/05/2020
BOM_087184,2020,5,29,0,29/05/2020
BOM_087184,2020,5,30,0,30/05/2020
BOM_087184,2020,5,31,0,31/05/2020
BOM_087184,2020,6,1,2,1/06/2020
BOM_087184,2020,6,2,1.8,2/06/2020
BOM_087184,2020,6,3,0,3/06/2020
BOM_087184,2020,6,4,0,4/06/2020
BOM_087184,2020,6,5,0,5/06/2020
BOM_087184,2020,6,6,0,6/06/2020
BOM_087184,2020,6,7,6.4,7/06/2020
BOM_087184,2020,6,8,0.2,8/06/2020
BOM_087184,2020,6,9,0,9/06/2020
BOM_087184,2020,6,10,0,10/06/2020
BOM_087184,2020,6,11,0.2,11/06/2020
BOM_087184,2020,6,12,0,12/06/2020
BOM_087184,2020,6,13,0,13/06/2020
BOM_087184,2020,6,14,0,14/06/2020
BOM_087184,2020,6,15,3,15/06/2020
BOM_087184,2020,6,16,0.6,16/06/2020
BOM_087184,2020,6,17,1.2,17/06/2020
BOM_087184,2020,6,18,0,18/06/2020
BOM_087184,2020,6,19,0,19/06/2020
BOM_087184,2020,6,20,1.2,20/06/2020
BOM_087184,2020,6,21,0,21/06/2020
BOM_087184,2020,6,22,0,22/06/2020
BOM_087184,2020,6,23,2,23/06/2020
BOM_087184,2020,6,24,0.2,24/06/2020
