DateTime,Temp (deg),EC@25 (uS/cm),SensorID
11/05/2025 8:51,11.88,1729,Odyssey15014
11/05/2025 8:48,12.41,1395,Odyssey15013
11/05/2025 6:51,12.25,1736,Odyssey15014
11/05/2025 6:48,12.6,1378,Odyssey15013
11/05/2025 4:51,12.65,1739,Odyssey15014
11/05/2025 4:48,12.81,1367,Odyssey15013
11/05/2025 2:51,13.05,1739,Odyssey15014
11/05/2025 2:48,13.07,1350,Odyssey15013
11/05/2025 0:51,13.46,1739,Odyssey15014
11/05/2025 0:48,13.46,1333,Odyssey15013
10/05/2025 22:51,13.86,1736,Odyssey15014
10/05/2025 22:48,13.76,1309,Odyssey15013
10/05/2025 20:51,14.22,1722,Odyssey15014
10/05/2025 20:48,14.04,1278,Odyssey15013
10/05/2025 18:51,14.52,1725,Odyssey15014
10/05/2025 18:48,13.85,1333,Odyssey15013
10/05/2025 16:51,14.55,1715,Odyssey15014
10/05/2025 16:48,14.11,1347,Odyssey15013
10/05/2025 14:51,13.93,1722,Odyssey15014
10/05/2025 14:48,14.33,1336,Odyssey15013
10/05/2025 12:51,13.17,1749,Odyssey15014
10/05/2025 12:48,13.62,1371,Odyssey15013
10/05/2025 10:51,12.59,1760,Odyssey15014
10/05/2025 10:48,12.77,1409,Odyssey15013
10/05/2025 8:51,12.57,1742,Odyssey15014
10/05/2025 8:48,12.67,1395,Odyssey15013
10/05/2025 6:51,12.99,1749,Odyssey15014
10/05/2025 6:48,12.88,1381,Odyssey15013
10/05/2025 4:51,13.41,1749,Odyssey15014
10/05/2025 4:48,13.11,1371,Odyssey15013
10/05/2025 2:51,13.75,1749,Odyssey15014
10/05/2025 2:48,13.29,1364,Odyssey15013
10/05/2025 0:51,14.11,1746,Odyssey15014
10/05/2025 0:48,13.44,1354,Odyssey15013
9/05/2025 22:51,14.4,1749,Odyssey15014
9/05/2025 22:48,13.59,1340,Odyssey15013
9/05/2025 20:51,14.83,1736,Odyssey15014
9/05/2025 20:48,13.89,1326,Odyssey15013
9/05/2025 18:51,15.35,1725,Odyssey15014
9/05/2025 18:48,14.33,1316,Odyssey15013
9/05/2025 16:51,15.65,1708,Odyssey15014
9/05/2025 16:48,14.57,1291,Odyssey15013
9/05/2025 14:51,15.02,1688,Odyssey15014
9/05/2025 14:48,14.07,1326,Odyssey15013
9/05/2025 12:51,13.91,1732,Odyssey15014
9/05/2025 12:48,13.58,1367,Odyssey15013
9/05/2025 10:51,12.76,1770,Odyssey15014
9/05/2025 10:48,13.1,1409,Odyssey15013
9/05/2025 8:51,12.53,1756,Odyssey15014
9/05/2025 8:48,13,1405,Odyssey15013
9/05/2025 6:51,12.81,1760,Odyssey15014
9/05/2025 6:48,13.09,1395,Odyssey15013
9/05/2025 4:51,13.16,1763,Odyssey15014
9/05/2025 4:48,13.21,1381,Odyssey15013
9/05/2025 2:51,13.51,1763,Odyssey15014
9/05/2025 2:48,13.37,1371,Odyssey15013
9/05/2025 0:51,13.82,1760,Odyssey15014
9/05/2025 0:48,13.54,1361,Odyssey15013
